subj,task,session,list,word,category,intrusion,rectime
R1016M,catFR1,1,3,MOUNTAIN,Landscapes,0,4.341
R1016M,catFR1,1,3,PIGEON,Birds,0,6.004
R1016M,catFR1,1,3,WOODS,Landscapes,0,7.722
R1016M,catFR1,1,3,RAINFOREST,X,-1,21.867
R1016M,catFR1,1,3,FOREST,Landscapes,0,24.488
R1016M,catFR1,1,4,HORSE,FarmAnimals,0,2.753
R1016M,catFR1,1,4,OCEAN,X,1,12.369
R1016M,catFR1,1,4,WILDLIFE,X,-1,16.449
R1016M,catFR1,1,4,APPLE,Fruit,0,20.88
R1016M,catFR1,1,4,PEAR,X,1,22.026
R1016M,catFR1,1,4,GRAPE,Fruit,0,24.564
R1016M,catFR1,1,4,WILDBERRY,X,-1,28.94
R1016M,catFR1,1,5,HAWK,Birds,0,2.458
R1016M,catFR1,1,5,SEAGULL,Birds,0,6.15
R1016M,catFR1,1,6,STAIRS,Building,0,3.993
R1016M,catFR1,1,6,RAILING,X,-1,13.234
R1016M,catFR1,1,6,REFRIGERATOR,Appliances,0,18.402
R1016M,catFR1,1,6,OVEN,X,4,20.888
R1016M,catFR1,1,6,STOVE,Appliances,0,22.593
R1016M,catFR1,1,7,RATCHET,Tools,0,1.969
R1016M,catFR1,1,7,SKIRT,Clothing,0,3.084
R1016M,catFR1,1,7,SHORTS,Clothing,0,4.254
R1016M,catFR1,1,7,ELBOW,BodyParts,0,5.611
R1016M,catFR1,1,7,FINGERS,BodyParts,0,6.878
R1016M,catFR1,1,7,TOE,X,-1,8.761
R1016M,catFR1,1,7,ARM,BodyParts,0,17.309
R1016M,catFR1,1,7,EYE,BodyParts,0,18.562
R1016M,catFR1,1,8,ORCHID,Flowers,0,2.221
R1016M,catFR1,1,8,LILAC,Flowers,0,3.312
R1016M,catFR1,1,8,ROSE,Flowers,0,4.741
R1016M,catFR1,1,8,THUNDER,Weather,0,9.285
R1016M,catFR1,1,8,STORM,X,-1,11.21
R1016M,catFR1,1,8,WIND,Weather,0,16.743
R1016M,catFR1,1,8,FLOWER,X,-1,22.617
R1016M,catFR1,1,9,BOOKCASE,Furniture,0,1.32
R1016M,catFR1,1,9,DESK,Furniture,0,12.255
R1016M,catFR1,1,9,TRACTOR,X,-1,21.365
R1016M,catFR1,1,9,TRUCK,Vehicles,0,23.682
R1016M,catFR1,1,9,JEEP,Vehicles,0,27.077
R1016M,catFR1,1,10,OCTOPUS,OceanAnimals,0,5.346
R1016M,catFR1,1,10,OSTRICH,X,-1,12.935
R1016M,catFR1,1,10,JELLYFISH,X,-1,19.635
R1016M,catFR1,1,10,SPARROW,Birds,0,28.893
R1016M,catFR1,1,11,CLOUD,Weather,0,2.629
R1016M,catFR1,1,11,MOPED,Vehicles,0,4.344
R1016M,catFR1,1,11,BUS,Vehicles,0,6.136
R1016M,catFR1,1,11,RAIN,Weather,0,7.765
R1016M,catFR1,1,11,TORNADO,Weather,0,9.381
R1016M,catFR1,1,11,THUNDERSTORM,X,6,12.034
R1016M,catFR1,1,11,LIGHTNING,Weather,0,14.452
R1016M,catFR1,1,11,LEMONADE,Beverages,0,19.007
R1016M,catFR1,1,11,MILK,Beverages,0,20.639
R1016M,catFR1,1,11,TEA,Beverages,0,23.678
R1016M,catFR1,1,12,ROOF,Building,0,2.906
R1016M,catFR1,1,12,WALL,Building,0,4.185
R1016M,catFR1,1,12,ERASER,OfficeSupplies,0,5.993
R1016M,catFR1,1,12,MARKER,OfficeSupplies,0,21.569
R1016M,catFR1,1,12,DOOR,Building,0,28.492
R1016M,catFR1,1,13,PIE,Desserts,0,12.747
R1016M,catFR1,1,13,MOUSSE,Desserts,0,15.646
R1016M,catFR1,1,13,HOUSE,X,-1,20.505
R1016M,catFR1,1,13,DRYER,X,7,29.465
R1016M,catFR1,1,14,LADYBUG,Insects,0,2.112
R1016M,catFR1,1,14,BEE,Insects,0,3.516
R1016M,catFR1,1,14,BASS,Instruments,0,4.936
R1016M,catFR1,1,14,PIANO,Instruments,0,7.107
R1016M,catFR1,1,15,BANJO,Instruments,0,2.788
R1016M,catFR1,1,15,SCREWDRIVER,Tools,0,4.515
R1016M,catFR1,1,15,SCREW,X,-1,8.824
R1016M,catFR1,1,15,GUITAR,X,1,23.136
R1016M,catFR1,1,16,GORILLA,Zoo,0,2.608
R1016M,catFR1,1,16,GIRAFFE,Zoo,0,4.083
R1016M,catFR1,1,16,LION,Zoo,0,10.676
R1016M,catFR1,1,16,ZEBRA,Zoo,0,13.107
R1016M,catFR1,1,16,ORGAN,Instruments,0,22.795
R1016M,catFR1,1,16,FLUTE,Instruments,0,24.785
R1016M,catFR1,1,17,GNAT,Insects,0,4.16
R1016M,catFR1,1,17,NOSE,BodyParts,0,7.686
R1016M,catFR1,1,17,FOOT,BodyParts,0,10.329
R1016M,catFR1,1,17,EYE,X,10,12.927
R1016M,catFR1,1,17,HEAD,BodyParts,0,15.906
R1016M,catFR1,1,17,HAND,BodyParts,0,17.866
R1016M,catFR1,1,17,ELEPHANT,X,15,24.26
